airline,flightId,scheduleDateTime,estimatedDateTime,airport,chkinrange,gatenumber,codeshare,masterflightid,remark,airportCode,terminalid,target_airport_code
KLM네덜란드항공,KL4252,202609260800,202609260800,후쿠오카,A B C D,,Slave,KE787,,FUK,P03,FUK
아시아나항공,OZ9867,202609260800,202609260800,후쿠오카,A B C D,,Slave,KE787,,FUK,P03,FUK
이스타항공,ZE645,202609260845,202609260845,후쿠오카,F19-G13,,Master,,,FUK,P02,FUK
진에어,LJ269,202609260935,202609260935,후쿠오카,E21-F17,,Master,,,FUK,P03,FUK
진에어,LJ273,202609260940,202609260940,후쿠오카,E21-F17,,Master,,,FUK,P03,FUK
제주항공,7C1403,202609260945,202609260945,후쿠오카,L13-L36,,Master,,,FUK,P02,FUK
트리니티항공,TW203,202609261005,202609261005,후쿠오카,A01-C34,,Master,,,FUK,P02,FUK
대한항공,KE791,202609261105,202609261105,후쿠오카,A B C D,,Master,,,FUK,P03,FUK
델타항공,DL7801,202609261105,202609261105,후쿠오카,A B C D,,Slave,KE791,,FUK,P03,FUK
일본항공,JL5272,202609261105,202609261105,후쿠오카,A B C D,,Slave,KE791,,FUK,P03,FUK
KLM네덜란드항공,KL3394,202609261105,202609261105,후쿠오카,A B C D,,Slave,KE791,,FUK,P03,FUK
아시아나항공,OZ9869,202609261105,202609261105,후쿠오카,A B C D,,Slave,KE791,,FUK,P03,FUK
제주항공,7C1471,202609261110,202609261110,후쿠오카,L13-L36,,Master,,,FUK,P02,FUK
에어부산,BX158,202609261130,202609261130,후쿠오카,E11-E19,,Master,,,FUK,P03,FUK
아시아나항공,OZ9578,202609261130,202609261130,후쿠오카,E11-E19,,Slave,BX158,,FUK,P03,FUK
진에어,LJ263,202609261215,202609261215,후쿠오카,E21-F17,,Master,,,FUK,P03,FUK
대한항공,KE5075,202609261215,202609261215,후쿠오카,E21-F17,,Slave,LJ263,,FUK,P03,FUK
이스타항공,ZE647,202609261230,202609261230,후쿠오카,F22-G13,,Master,,,FUK,P02,FUK
아시아나항공,OZ134,202609261355,202609261355,후쿠오카,G17-J40,,Master,,,FUK,P03,FUK
에어캐나다,AC6998,202609261355,202609261355,후쿠오카,G17-J40,,Slave,OZ134,,FUK,P03,FUK
에티오피아항공,ET1444,202609261355,202609261355,후쿠오카,G17-J40,,Slave,OZ134,,FUK,P03,FUK
에티하드 항공,EY8467,202609261355,202609261355,후쿠오카,G17-J40,,Slave,OZ134,,FUK,P03,FUK
전일본공수,NH6960,202609261355,202609261355,후쿠오카,G17-J40,,Slave,OZ134,,FUK,P03,FUK
터키항공,TK8094,202609261355,202609261355,후쿠오카,G17-J40,,Slave,OZ134,,FUK,P03,FUK
대한항공,KE5487,202609261355,202609261355,후쿠오카,G17-J40,,Slave,OZ134,,FUK,P03,FUK
에어서울,RS727,202609261425,202609261425,후쿠오카,E01-E10,,Master,,,FUK,P03,FUK
트리니티항공,TW205,202609261500,202609261500,후쿠오카,A01-C34,,Master,,,FUK,P02,FUK
제주항공,7C1405,202609261515,202609261515,후쿠오카,L13-L36,,Master,,,FUK,P02,FUK
진에어,LJ265,202609261535,202609261535,후쿠오카,E21-F17,,Master,,,FUK,P03,FUK
대한항공,KE795,202609261625,202609261625,후쿠오카,A B C D,,Master,,,FUK,P03,FUK
아시아나항공,OZ9871,202609261625,202609261625,후쿠오카,A B C D,,Slave,KE795,,FUK,P03,FUK
진에어,LJ271,202609261700,202609261700,후쿠오카,E21-F17,,Master,,,FUK,P03,FUK
대한항공,KE5095,202609261700,202609261700,후쿠오카,E21-F17,,Slave,LJ271,,FUK,P03,FUK
제주항공,7C1407,202609261720,202609261720,후쿠오카,L13-L36,,Master,,,FUK,P02,FUK
트리니티항공,TW207,202609261805,202609261805,후쿠오카,A01-C34,,Master,,,FUK,P02,FUK
이스타항공,ZE649,202609261820,202609261820,후쿠오카,F22-G13,,Master,,,FUK,P02,FUK
이스타항공,ZE643,202609261830,202609261830,후쿠오카,F22-G13,,Master,,,FUK,P02,FUK
대한항공,KE781,202609261835,202609261835,후쿠오카,A B C D,,Master,,,FUK,P03,FUK
에어 프랑스,AF7894,202609261835,202609261835,후쿠오카,A B C D,,Slave,KE781,,FUK,P03,FUK
델타항공,DL7797,202609261835,202609261835,후쿠오카,A B C D,,Slave,KE781,,FUK,P03,FUK
일본항공,JL5224,202609261835,202609261835,후쿠오카,A B C D,,Slave,KE781,,FUK,P03,FUK
KLM네덜란드항공,KL4258,202609261835,202609261835,후쿠오카,A B C D,,Slave,KE781,,FUK,P03,FUK
몽골항공,OM6711,202609261835,202609261835,후쿠오카,A B C D,,Slave,KE781,,FUK,P03,FUK
버진 애틀랜틱 항공,VS5509,202609261835,202609261835,후쿠오카,A B C D,,Slave,KE781,,FUK,P03,FUK
아시아나항공,OZ9873,202609261835,202609261835,후쿠오카,A B C D,,Slave,KE781,,FUK,P03,FUK
제주항공,7C1401,202609270630,202609270630,후쿠오카,L13-L36,,Master,,,FUK,P02,FUK
아시아나항공,OZ132,202609270630,202609270630,후쿠오카,G17-J40,,Master,,,FUK,P03,FUK
대한항공,KE5481,202609270630,202609270630,후쿠오카,G17-J40,,Slave,OZ132,,FUK,P03,FUK
진에어,LJ261,202609270715,202609270715,후쿠오카,E21-F17,,Master,,,FUK,P03,FUK
에어부산,BX156,202609270720,202609270720,후쿠오카,E11-E19,,Master,,,FUK,P03,FUK
아시아나항공,OZ9576,202609270720,202609270720,후쿠오카,E11-E19,,Slave,BX156,,FUK,P03,FUK
대한항공,KE787,202609270800,202609270800,후쿠오카,A B C D,,Master,,,FUK,P03,FUK
델타항공,DL7892,202609270800,202609270800,후쿠오카,A B C D,,Slave,KE787,,FUK,P03,FUK
몽골항공,OM6709,202609270800,202609270800,후쿠오카,A B C D,,Slave,KE787,,FUK,P03,FUK
일본항공,JL5220,202609270800,202609270800,후쿠오카,A B C D,,Slave,KE787,,FUK,P03,FUK
KLM네덜란드항공,KL4252,202609270800,202609270800,후쿠오카,A B C D,,Slave,KE787,,FUK,P03,FUK
아시아나항공,OZ9867,202609270800,202609270800,후쿠오카,A B C D,,Slave,KE787,,FUK,P03,FUK
에어서울,RS723,202609270805,202609270805,후쿠오카,E01-E10,,Master,,,FUK,P03,FUK
이스타항공,ZE645,202609270845,202609270845,후쿠오카,F19-G13,,Master,,,FUK,P02,FUK
진에어,LJ269,202609270935,202609270935,후쿠오카,E21-F17,,Master,,,FUK,P03,FUK
진에어,LJ273,202609270940,202609270940,후쿠오카,E21-F17,,Master,,,FUK,P03,FUK
제주항공,7C1403,202609270945,202609270945,후쿠오카,L13-L36,,Master,,,FUK,P02,FUK
트리니티항공,TW203,202609271005,202609271005,후쿠오카,A01-C34,,Master,,,FUK,P02,FUK
대한항공,KE791,202609271105,202609271105,후쿠오카,A B C D,,Master,,,FUK,P03,FUK
델타항공,DL7801,202609271105,202609271105,후쿠오카,A B C D,,Slave,KE791,,FUK,P03,FUK
일본항공,JL5272,202609271105,202609271105,후쿠오카,A B C D,,Slave,KE791,,FUK,P03,FUK
KLM네덜란드항공,KL3394,202609271105,202609271105,후쿠오카,A B C D,,Slave,KE791,,FUK,P03,FUK
아시아나항공,OZ9869,202609271105,202609271105,후쿠오카,A B C D,,Slave,KE791,,FUK,P03,FUK
제주항공,7C1471,202609271110,202609271110,후쿠오카,L13-L36,,Master,,,FUK,P02,FUK
에어부산,BX158,202609271130,202609271130,후쿠오카,E11-E19,,Master,,,FUK,P03,FUK
아시아나항공,OZ9578,202609271130,202609271130,후쿠오카,E11-E19,,Slave,BX158,,FUK,P03,FUK
진에어,LJ263,202609271215,202609271215,후쿠오카,E21-F17,,Master,,,FUK,P03,FUK
대한항공,KE5075,202609271215,202609271215,후쿠오카,E21-F17,,Slave,LJ263,,FUK,P03,FUK
이스타항공,ZE647,202609271230,202609271230,후쿠오카,F22-G13,,Master,,,FUK,P02,FUK
아시아나항공,OZ134,202609271355,202609271355,후쿠오카,G17-J40,,Master,,,FUK,P03,FUK
에어캐나다,AC6998,202609271355,202609271355,후쿠오카,G17-J40,,Slave,OZ134,,FUK,P03,FUK
에티오피아항공,ET1444,202609271355,202609271355,후쿠오카,G17-J40,,Slave,OZ134,,FUK,P03,FUK
에티하드 항공,EY8467,202609271355,202609271355,후쿠오카,G17-J40,,Slave,OZ134,,FUK,P03,FUK
전일본공수,NH6960,202609271355,202609271355,후쿠오카,G17-J40,,Slave,OZ134,,FUK,P03,FUK
터키항공,TK8094,202609271355,202609271355,후쿠오카,G17-J40,,Slave,OZ134,,FUK,P03,FUK
대한항공,KE5487,202609271355,202609271355,후쿠오카,G17-J40,,Slave,OZ134,,FUK,P03,FUK
에어서울,RS727,202609271425,202609271425,후쿠오카,E01-E10,,Master,,,FUK,P03,FUK
트리니티항공,TW205,202609271500,202609271500,후쿠오카,A01-C34,,Master,,,FUK,P02,FUK
제주항공,7C1405,202609271515,202609271515,후쿠오카,L13-L36,,Master,,,FUK,P02,FUK
진에어,LJ265,202609271535,202609271535,후쿠오카,E21-F17,,Master,,,FUK,P03,FUK
대한항공,KE795,202609271625,202609271625,후쿠오카,A B C D,,Master,,,FUK,P03,FUK
아시아나항공,OZ9871,202609271625,202609271625,후쿠오카,A B C D,,Slave,KE795,,FUK,P03,FUK
진에어,LJ271,202609271700,202609271700,후쿠오카,E21-F17,,Master,,,FUK,P03,FUK
대한항공,KE5095,202609271700,202609271700,후쿠오카,E21-F17,,Slave,LJ271,,FUK,P03,FUK
제주항공,7C1407,202609271720,202609271720,후쿠오카,L13-L36,,Master,,,FUK,P02,FUK
